RV_Los;Kunden-Nr (AB) rel;UUID;Anrede;Name des Unternehmens;zusätzlicher Text;Rechtsform;Straße;Hausnr.;PLZ;Ort;"Freigabe
(J/N) oder Datum";;;;;;;;;;;;;;;;;
BayKom2017 - LOS 1;1938856882;df6b5f64-dd19-465e-8ee8-fccd8f075eba;;Staatl. Führungsakademie für Ernährung, Landwirtschaft;und Forsten Landshut;;Porschestr.;5;84030;Landshut;;;;;;;;;;;;;;;;;;
BayKom2017 - LOS 1;1940608311;#NV;Firma;Advantic;;GMBH;Gutenbergstr.;15;23566;Lübeck;;;;;;;;;;;;;;;;;;
BayKom2017 - LOS 1;1938817311;030cdd59-927b-457a-b352-b1ca810499d1;Firma;AG Dachau;;;Schloßgasse;1;85221;Dachau;;;;;;;;;;;;;;;;;;
BayKom2017 - LOS 1;1942374411;47ab4180-03d1-48f0-a97a-55a1de9af3a9;Firma;AG Freyung;;;Geyersberger Str.;1;94078;FreyungNiederbay;;;;;;;;;;;;;;;;;;
BayKom2017 - LOS 1;1938857167;4bc6f7e7-78ba-4d90-8c8b-88782831efcb;Firma;AG Fürstenfeldbruck;;;Stadelberger Str.;5;82256;Fürstenfeldbruck;;;;;;;;;;;;;;;;;;
BayKom2017 - LOS 1;1956699561;64fe3b92-8991-4ba0-bd75-6219f10f7082;;AG Gemünden a. Main - Dienststelle Bahnhofstr.;;;Bahnhofstr.;13;97737;Gemündena. Main;;;;;;;;;;;;;;;;;;
BayKom2017 - LOS 1;1943712512;ab47f0bb-da46-434d-9745-e14832c066f2;;Akademie für Lehrerfortbildung und;Personalführung Dillingen;;Kardinal-von-Waldburg-Str.;6;89407;Dillingena.d.Donau;;;;;;;;;;;;;;;;;;
BayKom2017 - LOS 1;1939608068;b2f210b0-89b5-4092-a33c-6c8c367f0d48;Firma;AKDB Bayreuth;;;Chr.-Ritter-von-Langh-Str.;12;95448;Bayreuth;;;;;;;;;;;;;;;;;;
